method,path,middlewares,handler,file
"PUT","/:id","verifyAdmin","update","src\routes\admin\category.routes.ts"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\category.routes.ts"
"GET","/","verifyAdmin","getAll","src\routes\admin\deal.routes.ts"
"GET","/:id","verifyAdmin","getById","src\routes\admin\deal.routes.ts"
"POST","/","verifyAdmin","create","src\routes\admin\deal.routes.ts"
"PUT","/:id","verifyAdmin","update","src\routes\admin\deal.routes.ts"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\deal.routes.ts"
"GET","/","verifyAdmin","getAll","src\routes\admin\extra.routes.ts"
"GET","/:id","verifyAdmin","getById","src\routes\admin\extra.routes.ts"
"POST","/","verifyAdmin","create","src\routes\admin\extra.routes.ts"
"PUT","/:id","verifyAdmin","update","src\routes\admin\extra.routes.ts"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\extra.routes.ts"
"GET","/","verifyAdmin","getAll","src\routes\admin\item.routes.ts"
"GET","/:id","verifyAdmin","getById","src\routes\admin\item.routes.ts"
"POST","/","verifyAdmin","create","src\routes\admin\item.routes.ts"
"PUT","/:id","verifyAdmin","update","src\routes\admin\item.routes.ts"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\item.routes.ts"
"GET","/orders/live","","getLiveOrders","src\routes\admin\orderMonitor.routes.ts"
"POST","/capture","adminAuth","capturePayPalPayment","src\routes\admin\paypalAdmin.routes.ts"
"POST","/refund","adminAuth","refundPayPalPayment","src\routes\admin\paypalAdmin.routes.ts"
"GET","/:itemId","verifyAdmin","getItemRelations","src\routes\admin\relation.routes.ts"
"GET","/terminals","","getAllTerminals","src\routes\admin\terminalAdmin.routes.ts"
"GET","/terminals/activity","validate(getTerminalActivitySchema)","getTerminalActivity","src\routes\admin\terminalAdmin.routes.ts"
"GET","/terminals/status","validate(getTerminalStatusSchema)","getTerminalStatus","src\routes\admin\terminalStatus.routes.ts"
"GET","/","verifyAdmin","getAll","src\routes\admin\topping.routes.ts"
"GET","/:id","verifyAdmin","getById","src\routes\admin\topping.routes.ts"
"POST","/","verifyAdmin","create","src\routes\admin\topping.routes.ts"
"PUT","/:id","verifyAdmin","update","src\routes\admin\topping.routes.ts"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\topping.routes.ts"
"GET","/","verifyAdmin","getAll","src\routes\admin\variant.routes.ts"
"GET","/:id","verifyAdmin","getById","src\routes\admin\variant.routes.ts"
"POST","/","verifyAdmin","create","src\routes\admin\variant.routes.ts"
"PUT","/:id","verifyAdmin","update","src\routes\admin\variant.routes.ts"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\variant.routes.ts"
"GET","/opening-hours","","inline","src\routes\admin.ts"
"POST","/opening-hours","","inline","src\routes\admin.ts"
"GET","/holiday-overrides","","inline","src\routes\admin.ts"
"POST","/holiday-overrides","","inline","src\routes\admin.ts"
"PUT","/holiday-overrides","","inline","src\routes\admin.ts"
"DELETE","/holiday-overrides","","inline","src\routes\admin.ts"
"GET","/delivery-zones","","inline","src\routes\admin.ts"
"POST","/delivery-zones","","inline","src\routes\admin.ts"
"GET","/me","","inline","src\routes\admin.ts"
"POST","/","adminAuth|adminRole(""superadmin"")","create","src\routes\admins.routes.ts"
"POST","/login","","login","src\routes\admins.routes.ts"
"POST","/refresh","","refresh","src\routes\admins.routes.ts"
"GET","/","adminAuth|adminRole(""superadmin"")","list","src\routes\admins.routes.ts"
"GET","/:id","adminAuth|adminRole(""superadmin"")","getById","src\routes\admins.routes.ts"
"PUT","/:id","adminAuth|adminRole(""superadmin"")","update","src\routes\admins.routes.ts"
"DELETE","/:id","adminAuth|adminRole(""superadmin"")","delete","src\routes\admins.routes.ts"
"GET","/revenue","adminAuth|adminRole(""manager"")","totalRevenue","src\routes\analytics.routes.ts"
"GET","/orders-per-day","adminAuth|adminRole(""manager"")","ordersPerDay","src\routes\analytics.routes.ts"
"GET","/best-selling-items","adminAuth|adminRole(""manager"")","bestSellingItems","src\routes\analytics.routes.ts"
"GET","/customer-stats","adminAuth|adminRole(""manager"")","customerStats","src\routes\analytics.routes.ts"
"GET","/courier-performance","adminAuth|adminRole(""manager"")","courierPerformance","src\routes\analytics.routes.ts"
"GET","/hourly-orders","adminAuth|adminRole(""manager"")","hourlyOrders","src\routes\analytics.routes.ts"
"POST","/login","","inline","src\routes\auth.ts"
"POST","/request-link","","inline","src\routes\auth.ts"
"POST","/admin/request-link","","inline","src\routes\auth.ts"
"GET","/verify","","inline","src\routes\auth.ts"
"GET","/admin/verify","","inline","src\routes\auth.ts"
"POST","/logout","","inline","src\routes\auth.ts"
"GET","/profile/:customerId","adminAuth|adminRole(""manager"")","profile","src\routes\behaviorPrediction.routes.ts"
"GET","/","","inline","src\routes\branches.ts"
"GET","/campaigns","","inline","src\routes\campaigns.ts"
"POST","/campaigns","","inline","src\routes\campaigns.ts"
"PUT","/campaigns/:id","","inline","src\routes\campaigns.ts"
"DELETE","/campaigns/:id","","inline","src\routes\campaigns.ts"
"POST","/campaigns/:id/schedule","","inline","src\routes\campaigns.ts"
