method,path,middlewares,handler,file,visibility
"POST","/claim","","claimOrder","src\api\driverAccess\driverClaim.routes.js","driver"
"POST","/status","","updateDriverStatus","src\api\driverAccess\driverClaim.routes.js","driver"
"POST","/accept","","driverAccept","src\api\driverAccess\driverDispatch.routes.js","driver"
"POST","/decline","","driverDecline","src\api\driverAccess\driverDispatch.routes.js","driver"
"POST","/update-location","","updateDriverLocation","src\api\driverAccess\driverLocation.routes.js","driver"
"GET","/assigned/:driverId","","getAssignedOrders","src\api\driverAccess\driverOrders.routes.js","driver"
"POST","/update-status","","driverUpdateStatus","src\api\driverAccess\driverRealtime.routes.js","driver"
"POST","/:orderId/assign","","assignDriver","src\api\driverAssignment\driverAssignment.routes.js","driver"
"POST","/login","","driverLogin","src\api\driverAuth\driverAuth.routes.js","driver"
"GET","/me","driverAuthMiddleware","driverMe","src\api\driverAuth\driverAuth.routes.js","driver"
"POST","/update","","updateDriverLocation","src\api\driverLocation\driverLocation.routes.js","driver"
"GET","/order/:orderId","driverAuthMiddleware","getOrderNavigation","src\api\driverNavigation\driverNavigation.routes.js","driver"
"GET","/active","driverAuthMiddleware","getActiveOrders","src\api\driverOrders\driverOrders.routes.js","driver"
"PATCH","/:orderId/status","driverAuthMiddleware","driverUpdateOrderStatus","src\api\driverOrders\driverOrders.routes.js","driver"
"POST","/rate","","rateDriver","src\api\drivers\rating.routes.js","driver"
"GET","/:orderId","","getOrderETA","src\api\eta\eta.routes.js","internal"
"GET","/","","health","src\api\health\health.routes.ts","internal"
"GET","/deep","","deepHealth","src\api\health\health.routes.ts","internal"
"POST","/report","","reportIssue","src\api\issues\customerIssue.routes.js","public"
"GET","/queue/:branchId","","getKitchenQueue","src\api\kds\kds.routes.js","kds"
"POST","/update-status","","updateKitchenStatus","src\api\kds\kds.routes.js","kds"
"GET","/:userId","","getLoyaltyInfo","src\api\loyalty\customerLoyalty.routes.js","loyalty"
"POST","/redeem","","redeem","src\api\loyalty\customerLoyalty.routes.js","loyalty"
"GET","/dashboard/:branchId","","getBranchDashboard","src\api\manager\managerDashboard.routes.js","internal"
"GET","/:branchId","","fetchCustomerMenu","src\api\menu\customerMenu.routes.js","public"
"GET","/","","getMenu","src\api\menu\menu.routes.js","internal"
"POST","/","","createMenuItem","src\api\menu\menu.routes.js","internal"
"PATCH","/:itemId","","updateMenuItem","src\api\menu\menu.routes.js","internal"
"DELETE","/:itemId","","deleteMenuItem","src\api\menu\menu.routes.js","internal"
"POST","/","","inline","src\api\order\order.routes.ts","internal"
"POST","/register","","registerCustomerNotification","src\api\orders\customerNotification.routes.js","public"
"GET","/status/:orderId","","getCustomerOrderStatus","src\api\orders\customerTracking.routes.js","public"
"POST","/","validate(createOrderSchema)","createOrder","src\api\orders\order.routes.js","internal"
"PATCH","/:orderId/status","","updateOrderStatus","src\api\orderStatus\orderStatus.routes.js","internal"
"POST","/intent","","createPaymentIntent","src\api\payments\payment.routes.js","internal"
"POST","/cod","","markCashOnDelivery","src\api\payments\payment.routes.js","internal"
"POST","/webhook","","handleStripeWebhook","src\api\payments\payment.routes.js","webhook"
"POST","/apply","","applyPromoCode","src\api\promo\customerPromo.routes.js","public"
"POST","/subscribe","","saveSubscription","src\api\push\push.routes.js","internal"
"GET","/slots/:branchId","","getAvailableSlots","src\api\scheduling\customerScheduling.routes.js","public"
"POST","/schedule","","scheduleOrder","src\api\scheduling\customerScheduling.routes.js","public"
"POST","/","","createStaff","src\api\staff\staff.routes.js","internal"
"PATCH","/:staffId","","updateStaff","src\api\staff\staff.routes.js","internal"
"POST","/","customerAuth","add","src\routes\address.routes.ts","public"
"PUT","/:id","customerAuth","update","src\routes\address.routes.ts","public"
"DELETE","/:id","customerAuth","delete","src\routes\address.routes.ts","public"
"GET","/","customerAuth","list","src\routes\address.routes.ts","public"
"POST","/voucher/create","adminAuth","createVoucher","src\routes\admin\admin.routes.ts","admin-internal"
"POST","/voucher/invalidate","adminAuth","invalidateVoucher","src\routes\admin\admin.routes.ts","admin-internal"
"GET","/voucher/list","adminAuth","listVouchers","src\routes\admin\admin.routes.ts","admin-internal"
"POST","/refund","adminAuth","adminRefundOrder","src\routes\admin\admin.routes.ts","admin-internal"
"POST","/assign","adminAuth","assignCourier","src\routes\admin\adminCourier.routes.ts","admin-internal"
"GET","/location/:orderId","adminAuth","getCourierLocation","src\routes\admin\adminCourier.routes.ts","admin-internal"
"GET","/timeline/:orderId","adminAuth","getOrderTimeline","src\routes\admin\adminCourier.routes.ts","admin-internal"
"PUT","/item/:itemId/kitchen","adminAuth","updateKitchenAssignment","src\routes\admin\adminKitchenAssignment.routes.ts","admin-internal"
"POST","/reprint/:orderId","adminAuth","reprintKitchenTickets","src\routes\admin\adminPrinter.routes.ts","printer"
"GET","/analytics","adminAuth","getPrinterAnalyticsController","src\routes\admin\adminPrinterAnalytics.routes.ts","printer"
"GET","/cloud","adminAuth","listCloudPrinters","src\routes\admin\adminPrinterCloud.routes.ts","printer"
"GET","/fleet","adminAuth","listFleet","src\routes\admin\adminPrinterFleet.routes.ts","printer"
"POST","/fleet/policy/:printerId","adminAuth","setPolicy","src\routes\admin\adminPrinterFleet.routes.ts","printer"
"POST","/fleet/firmware/:printerId","adminAuth","setFirmware","src\routes\admin\adminPrinterFleet.routes.ts","printer"
"POST","/fleet/command/:printerId/:command","adminAuth","sendCommand","src\routes\admin\adminPrinterFleet.routes.ts","printer"
"GET","/observability/traces","adminAuth","getTraces","src\routes\admin\adminPrinterObservability.routes.ts","printer"
"GET","/observability/health","adminAuth","getHealth","src\routes\admin\adminPrinterObservability.routes.ts","printer"
"GET","/observability/anomalies","adminAuth","getAnomalies","src\routes\admin\adminPrinterObservability.routes.ts","printer"
"GET","/queue","adminAuth","getPrinterQueue","src\routes\admin\adminPrinterQueue.routes.ts","printer"
"GET","/security/pending","adminAuth","listUnapprovedPrinters","src\routes\admin\adminPrinterSecurity.routes.ts","printer"
"POST","/security/approve/:id","adminAuth","approvePrinterController","src\routes\admin\adminPrinterSecurity.routes.ts","printer"
"GET","/status","adminAuth","getPrinterStatus","src\routes\admin\adminPrinterStatus.routes.ts","printer"
"POST","/test/:kitchen","adminAuth","runPrinterTest","src\routes\admin\adminPrinterTest.routes.ts","printer"
"GET","/terminals","adminAuth","listTerminals","src\routes\admin\adminTerminal.routes.ts","terminal"
"GET","/terminals/errors","adminAuth","listTerminalErrors","src\routes\admin\adminTerminal.routes.ts","terminal"
"GET","/terminals","adminAuth","adminListTerminals","src\routes\admin\adminTools.routes.ts","terminal"
"POST","/terminals/:terminalId/reset-token","adminAuth","adminResetTerminalToken","src\routes\admin\adminTools.routes.ts","terminal"
"POST","/terminals/:terminalId/assign-kitchen","adminAuth","adminAssignTerminalKitchen","src\routes\admin\adminTools.routes.ts","terminal"
"GET","/branches/:branchId/settings","adminAuth","getBranchSettings","src\routes\admin\adminTools.routes.ts","admin-internal"
"POST","/branches/:branchId/settings","adminAuth","updateBranchSettings","src\routes\admin\adminTools.routes.ts","admin-internal"
"GET","/","verifyAdmin","getAll","src\routes\admin\category.routes.ts","admin-internal"
"GET","/:id","verifyAdmin","getById","src\routes\admin\category.routes.ts","admin-internal"
"POST","/","verifyAdmin","create","src\routes\admin\category.routes.ts","admin-internal"
"PUT","/:id","verifyAdmin","update","src\routes\admin\category.routes.ts","admin-internal"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\category.routes.ts","admin-internal"
"GET","/","verifyAdmin","getAll","src\routes\admin\deal.routes.ts","admin-internal"
"GET","/:id","verifyAdmin","getById","src\routes\admin\deal.routes.ts","admin-internal"
"POST","/","verifyAdmin","create","src\routes\admin\deal.routes.ts","admin-internal"
"PUT","/:id","verifyAdmin","update","src\routes\admin\deal.routes.ts","admin-internal"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\deal.routes.ts","admin-internal"
"GET","/","verifyAdmin","getAll","src\routes\admin\extra.routes.ts","admin-internal"
"GET","/:id","verifyAdmin","getById","src\routes\admin\extra.routes.ts","admin-internal"
"POST","/","verifyAdmin","create","src\routes\admin\extra.routes.ts","admin-internal"
"PUT","/:id","verifyAdmin","update","src\routes\admin\extra.routes.ts","admin-internal"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\extra.routes.ts","admin-internal"
"GET","/","verifyAdmin","getAll","src\routes\admin\item.routes.ts","admin-internal"
"GET","/:id","verifyAdmin","getById","src\routes\admin\item.routes.ts","admin-internal"
"POST","/","verifyAdmin","create","src\routes\admin\item.routes.ts","admin-internal"
"PUT","/:id","verifyAdmin","update","src\routes\admin\item.routes.ts","admin-internal"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\item.routes.ts","admin-internal"
"GET","/orders/live","","getLiveOrders","src\routes\admin\orderMonitor.routes.ts","admin-internal"
"POST","/capture","adminAuth","capturePayPalPayment","src\routes\admin\paypalAdmin.routes.ts","admin-internal"
"POST","/refund","adminAuth","refundPayPalPayment","src\routes\admin\paypalAdmin.routes.ts","admin-internal"
"GET","/:itemId","verifyAdmin","getItemRelations","src\routes\admin\relation.routes.ts","admin-internal"
